Year,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00037
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00037
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00037
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00039
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00034
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00034
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00032
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00029
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.0003
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00029
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00029
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00033
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00031
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.0003
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Wild catch and harvest (material flows),Kilograms per constant USD,2010,0.00029
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00784
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00899
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00795
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00701
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.0068
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00645
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00638
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00717
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00498
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00163
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00308
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00273
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00248
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00335
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00401
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00361
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00327
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Metal ores (material flows),Kilograms per constant USD,2010,0.00294
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00712
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00819
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00744
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00666
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00632
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00596
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00592
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00691
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.0048
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00159
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00296
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00273
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00248
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00332
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00398
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00361
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00327
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Ferrous ores (material flows),Kilograms per constant USD,2010,0.00294
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00072
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.0008
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00051
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00036
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00047
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00049
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00046
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00027
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00018
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,4e-05
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,0.00011
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,2e-05
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-ferrous ores (material flows),Kilograms per constant USD,2010,3e-05
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.17833
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.17915
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.16554
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.15879
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.15957
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.14995
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.14926
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.14645
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.12961
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.10976
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.10372
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.10574
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.09788
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.09607
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.09562
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.08935
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.08379
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals (material flows),Kilograms per constant USD,2010,0.07844
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.09972
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.1024
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.0942
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.09243
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.09283
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.09066
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.08974
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.08187
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.08398
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.08086
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.07638
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.07282
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.07385
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.07213
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.0653
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.05787
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.05547
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Fossil fuels (material flows),Kilograms per constant USD,2010,0.05316
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02556
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.03084
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02613
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02631
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02615
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02672
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.028
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02381
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02438
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02277
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.01763
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.01984
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02383
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.0241
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.02025
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.0127
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.01204
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Coal (material flows),Kilograms per constant USD,2010,0.01141
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03888
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03777
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03528
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03469
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03495
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03416
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03397
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03092
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03128
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.03065
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02996
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02855
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02781
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02646
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02601
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02613
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02531
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Petroleum (material flows),Kilograms per constant USD,2010,0.02453
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.03528
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.03379
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.03279
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.03144
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.03172
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02979
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02778
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02713
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02833
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02745
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.0288
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02443
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02221
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.02157
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.01904
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.01904
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.01811
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Natural gas (material flows),Kilograms per constant USD,2010,0.01723
2000,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,729581972.519
2001,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,746973883.941
2002,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,721439946.411
2003,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,714231950.78
2004,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,733741902.905
2005,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,724638260.689
2006,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,734764069.78
2007,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,723530426.8204
2008,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,685205230.1477
2009,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,590615761.73771
2010,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,575615877.98256
2011,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,583653248.276
2012,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,563466867.334
2013,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,573388522.57502
2014,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,577602217.1403
2015,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,549809679.889
2016,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,534333433.0021
2017,"Domestic material consumption [8.4.2,12.2.2]",,Metric Tons,,518875116.8222
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,361777341.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,373188808.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,352487177.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,349820828.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,359924923.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,347912947.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,349473730.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,352479019.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,309803324.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,247409292.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,234736966.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,245001703.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,229394357.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,228305883.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,235844616.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,224105149.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,212365682.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,200626215.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,10904370.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,11849711.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,12200997.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,11674434.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,11870416.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,12459243.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,18392194.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17646810.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,16626349.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,17296537.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,19689999.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,18641756.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,18180123.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,19646131.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,18223347.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,18891440.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,19586682.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,20299855.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,132108318.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,122540277.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,131705475.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,126346555.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,129823836.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,130862758.0
2006,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,130000593.0
2007,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,128372873.0
2008,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,134708778.0
2009,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,126954351.0
2010,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,126278649.0
2011,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,131645449.0
2012,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,122835761.0
2013,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,130626127.0
2014,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,139361462.0
2015,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,139626992.0
2016,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,139783879.0
2017,"Domestic material consumption [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,139940767.0
2000,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,55084160.0
2001,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,54574511.0
2002,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,58693810.0
2003,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,54304453.0
2004,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,57245229.0
2005,"Domestic material consumption [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,56649377.0
