Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1975,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.2656
1976,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.8007
1977,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.3258
1978,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,22.1542
1979,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,21.9038
1980,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.8761
1981,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.6394
1982,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.8661
1983,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.6485
1984,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.7776
1985,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.1336
1986,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.5007
1987,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.1588
1988,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,22.9907
1989,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,22.7623
1990,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.1513
1991,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.8471
1992,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.2803
1993,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,22.9811
1994,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.7971
1995,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.277
1996,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.1344
1997,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,23.7209
1998,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.005
1999,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.5193
2000,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,26.1615
2001,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.6907
2002,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.9732
2003,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.5725
2004,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.2189
2005,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.5671
2006,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.7566
2007,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.9294
2008,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,26.4974
2009,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.1525
2010,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.2946
2011,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.8381
2012,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.079
2013,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.0962
2014,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,24.8772
2015,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.0033
2016,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.4159
2017,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.657
2018,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.6203
2019,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Tax revenue as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,25.3279
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.1128
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.5619
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.7025
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.9996
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.6992
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.8004
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-1.3998
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.7997
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.6171
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.559
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.2229
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.7243
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.7572
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.231
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.3283
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.448
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.0849
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.1561
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.9583
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.1922
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.0109
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.739
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.6837
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.0533
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.3052
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.6737
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.3428
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.7733
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.8748
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.2255
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.3332
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.3514
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.7341
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.8098
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.7668
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.6726
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.8922
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.2615
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.009
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.6946
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.9642
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.6875
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.4786
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.0152
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.786
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.0111
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.7315
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.6383
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.0081
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of the general government final consumption expenditure (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-6.4599
1971,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.1861
1972,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.3611
1973,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.5379
1974,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-1.6234
1975,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.1334
1976,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.4925
1977,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.3976
1978,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.3523
1979,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.3662
1980,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.0845
1981,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.1627
1982,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.092
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.1964
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.3151
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.8853
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.4636
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.5037
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,7.7571
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.4902
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.975
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-2.0632
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.5764
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.3358
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.5192
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.1639
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.6959
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.0762
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.1612
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.4809
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.4294
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.5622
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.2957
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.3338
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.1846
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.4759
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.6099
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.3464
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.3831
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-2.733
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of households and NPISHs final consumption expenditure [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.154
