Year,SERIES,UNIT_MEASURE,Type of product,Observation status,Unit multiplier,Reporting type,Base period,Value
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.16033
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.16057
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.14855
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.14072
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.14392
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.13494
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.13216
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.1301
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11495
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.09576
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.08885
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.09115
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.08136
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.07933
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.1065
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11285
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11684
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11491
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11551
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - construction dominant (material flows),Normal value,Units,Global,2015,0.11394
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00762
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00737
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00737
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00701
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00668
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.0067
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00669
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00617
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00588
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00578
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00662
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.0081
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00754
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00778
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00684
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00529
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00511
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00385
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00428
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant (material flows),Normal value,Units,Global,2015,0.00407
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.08056
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.07412
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.0744
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.07005
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06956
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06782
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06439
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06117
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.0636
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06386
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06157
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06192
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.0599
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06263
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06448
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06295
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.05976
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.06291
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.0604
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Biomass (material flows),Normal value,Units,Global,2015,0.05977
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.0245
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02362
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02479
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02214
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02281
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02192
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02085
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.01987
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02211
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02219
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.0202
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.0214
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.01986
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02192
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02238
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02027
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.01813
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.02121
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.01929
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crops (material flows),Normal value,Units,Global,2015,0.01869
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00831
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00666
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00784
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00735
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00728
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00695
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00667
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00613
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00741
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00701
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00683
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00711
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00635
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00618
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00724
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00718
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00607
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00637
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00578
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Crop residues (material flows),Normal value,Units,Global,2015,0.00574
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.04079
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03694
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03531
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03462
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03396
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03338
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03199
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03048
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02996
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03067
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.03016
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02951
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02916
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02855
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02794
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02738
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02728
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02694
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02619
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Grazed biomass and fodder crops (material flows),Normal value,Units,Global,2015,0.02576
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00661
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00653
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00612
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00568
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00526
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00532
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.0046
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00446
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00389
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00379
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00424
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00375
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00437
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00584
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00687
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00805
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00817
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.0083
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00903
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wood (material flows),Normal value,Units,Global,2015,0.00948
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00035
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00036
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00034
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00027
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00025
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00025
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00029
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00023
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00023
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.0002
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00014
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00016
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00015
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00014
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,6e-05
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,6e-05
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.00011
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,8e-05
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.0001
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Wild catch and harvest (material flows),Normal value,Units,Global,2015,0.0001
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00837
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00841
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.0083
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00849
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00819
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00792
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00813
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.008
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00668
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00375
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.0054
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00523
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00484
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00556
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00535
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.0049
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00544
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00494
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.0048
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Metal ores (material flows),Normal value,Units,Global,2015,0.00421
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Ferrous ores (material flows),Normal value,Units,Global,2015,0.0076
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Kilograms per constant USD,Ferrous ores (material flows),Normal value,Units,Global,2015,0.00747
